0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/forest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/sungsan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/manjang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/hyupjae.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/handam.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/olleh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/geumnong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/woodo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/whale.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/racing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/museum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/halla.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/event1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/event3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/jeju/event2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:00 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:02 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:02 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:02 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
